"bloc_id";"fiche_id";"ordre";"type";"titre";"contenu";"formule";"illustration_id"
"B_NA_05";"REV_2GT_NOMBRES_ALGEBRE";"50";"METHODE";"Fraction irréductible";"Simplifier numérateur et dénominateur par leurs facteurs communs. Les nombres premiers et la divisibilité sont les outils de base.";"";""
"B_NA_06";"REV_2GT_NOMBRES_ALGEBRE";"60";"REPERE";"Valeur absolue";"La valeur absolue mesure une distance à zéro. Elle est toujours positive ou nulle.";"|x|=\begin{cases}x & x\ge0\\-x & x<0\end{cases}";""
"B_GEO_01";"REV_2GT_GEOMETRIE";"10";"FORMULE";"Coordonnées d'un vecteur";"On soustrait les coordonnées du point de départ à celles du point d'arrivée.";"\overrightarrow{AB}=(x_B-x_A\,,\,y_B-y_A)";"vecteurs"
"B_GEO_02";"REV_2GT_GEOMETRIE";"20";"FORMULE";"Milieu d'un segment";"Les coordonnées du milieu sont les moyennes des coordonnées des extrémités.";"M\left(\frac{x_A+x_B}{2}\,,\,\frac{y_A+y_B}{2}\right)";""
"B_GEO_03";"REV_2GT_GEOMETRIE";"30";"FORMULE";"Équation de droite";"Une droite non verticale peut s'écrire y = mx + p. m est le coefficient directeur et p l'ordonnée à l'origine.";"m=\frac{y_B-y_A}{x_B-x_A} \quad (x_A\ne x_B)";"droite_affine"
"B_GEO_04";"REV_2GT_GEOMETRIE";"40";"METHODE";"Parallélisme";"Deux droites non verticales sont parallèles lorsqu'elles ont le même coefficient directeur. Avec des vecteurs on peut aussi tester la colinéarité.";"";""
"B_FON_01";"REV_2GT_FONCTIONS";"10";"REPERE";"Image et antécédent";"Si y=f(x) alors y est l'image de x. Chercher un antécédent de y revient à résoudre f(x)=y.";"";"courbe_fonction"
"B_FON_02";"REV_2GT_FONCTIONS";"20";"FORMULE";"Fonction affine";"Une fonction affine s'écrit f(x)=mx+p. Si p=0 elle est linéaire et représente une situation de proportionnalité.";"f(x)=mx+p";"droite_affine"
"B_FON_03";"REV_2GT_FONCTIONS";"30";"METHODE";"Variations";"Lire une courbe de gauche à droite. Une fonction est croissante lorsque ses images augmentent avec x et décroissante lorsqu'elles diminuent.";"";"courbe_variations"
"B_FON_04";"REV_2GT_FONCTIONS";"40";"REPERE";"Extremum";"Un maximum est une plus grande valeur prise par la fonction sur l'ensemble étudié. Un minimum est une plus petite valeur.";"";""
"B_SP_01";"REV_2GT_STAT_PROBA";"10";"FORMULE";"Pourcentage et proportion";"Une proportion est une partie divisée par un total. Pour l'exprimer en pourcentage on multiplie par 100.";"p=\frac{effectif\ de\ la\ partie}{effectif\ total} \quad pourcentage=100p";""
"B_SP_02";"REV_2GT_STAT_PROBA";"20";"FORMULE";"Évolution";"Une hausse de t correspond à multiplier par 1+t. Une baisse de t correspond à multiplier par 1-t.";"V_f=V_i(1+t)";""
"B_SP_03";"REV_2GT_STAT_PROBA";"30";"FORMULE";"Moyenne pondérée";"Multiplier chaque valeur par son effectif puis diviser la somme par l'effectif total.";"\bar{x}=\frac{\sum n_i x_i}{\sum n_i}";""
"B_SP_04";"REV_2GT_STAT_PROBA";"40";"REPERE";"Médiane et quartiles";"La médiane partage une série ordonnée en deux groupes de même effectif. Les quartiles repèrent approximativement les quarts de la série.";"";""
"B_SP_05";"REV_2GT_STAT_PROBA";"50";"FORMULE";"Événement contraire";"La probabilité de l'événement contraire complète celle de l'événement à 1.";"P(\overline{A})=1-P(A)";"arbre_proba"
"B_SP_06";"REV_2GT_STAT_PROBA";"60";"FORMULE";"Équiprobabilité";"Dans une situation équiprobable la probabilité d'un événement est le nombre de cas favorables divisé par le nombre de cas possibles.";"P(A)=\frac{Card(A)}{Card(\Omega)}";""
"B_SP_07";"REV_2GT_STAT_PROBA";"70";"METHODE";"Tableau croisé";"Pour une fréquence conditionnelle fixer d'abord la population de référence puis diviser l'effectif de la case par le total correspondant.";"";""
"B_AUT_01";"REV_2GT_AUTOMATISMES";"10";"AUTOMATISME";"Calcul numérique";"Priorités opératoires signes relatifs fractions puissances simples racines carrées usuelles et calcul mental de pourcentages.";"";""
"B_AUT_02";"REV_2GT_AUTOMATISMES";"20";"AUTOMATISME";"Calcul littéral";"Réduire développer factoriser une expression courte et substituer une valeur sans erreur de signe.";"";""
"B_AUT_03";"REV_2GT_AUTOMATISMES";"30";"AUTOMATISME";"Équations";"Résoudre mentalement ou en quelques lignes une équation simple et contrôler la cohérence du résultat.";"";""
"B_AUT_04";"REV_2GT_AUTOMATISMES";"40";"AUTOMATISME";"Fonctions";"Lire une image ou un antécédent sur un graphique reconnaître une droite affine et interpréter son coefficient directeur.";"";""
"B_AUT_05";"REV_2GT_AUTOMATISMES";"50";"AUTOMATISME";"Pourcentages";"Passer rapidement entre proportion décimale pourcentage taux d'évolution et coefficient multiplicateur.";"";""
"B_AUT_06";"REV_2GT_AUTOMATISMES";"60";"AUTOMATISME";"Géométrie repérée";"Calculer coordonnées d'un vecteur milieu coefficient directeur et reconnaître un parallélisme.";"";""
"B_ESS_01";"REV_2GT_ESSENTIEL";"10";"FORMULE";"Calcul littéral";"Identités remarquables et équation du premier degré.";"(a+b)^2=a^2+2ab+b^2 \quad (a-b)^2=a^2-2ab+b^2 \quad (a-b)(a+b)=a^2-b^2 \quad ax+b=c \Rightarrow x=\frac{c-b}{a}";""
"B_ESS_02";"REV_2GT_ESSENTIEL";"20";"FORMULE";"Vecteurs et milieu";"Coordonnées indispensables en géométrie repérée.";"\overrightarrow{AB}=(x_B-x_A\,,\,y_B-y_A) \quad M\left(\frac{x_A+x_B}{2}\,,\,\frac{y_A+y_B}{2}\right)";"vecteurs"
"B_ESS_03";"REV_2GT_ESSENTIEL";"30";"FORMULE";"Droite affine";"Forme d'une droite non verticale et coefficient directeur.";"y=mx+p \quad m=\frac{y_B-y_A}{x_B-x_A}";"droite_affine"
"B_ESS_04";"REV_2GT_ESSENTIEL";"40";"REPERE";"Fonctions";"Image : calculer f(x). Antécédent : résoudre f(x)=y. Variations : lire la courbe de gauche à droite. Extremum : plus grande ou plus petite valeur prise.";"";"courbe_variations"
"B_ESS_05";"REV_2GT_ESSENTIEL";"50";"FORMULE";"Pourcentages et évolutions";"Proportion puis coefficient multiplicateur.";"p=\frac{partie}{total} \quad V_f=V_i(1+t)";""
"B_ESS_06";"REV_2GT_ESSENTIEL";"60";"FORMULE";"Statistiques";"Moyenne pondérée.";"\bar{x}=\frac{\sum n_i x_i}{\sum n_i}";""
"B_ESS_07";"REV_2GT_ESSENTIEL";"70";"FORMULE";"Probabilités";"Complémentaire et équiprobabilité.";"P(\overline{A})=1-P(A) \quad P(A)=\frac{Card(A)}{Card(\Omega)}";"arbre_proba"
"B_ESS_08";"REV_2GT_ESSENTIEL";"80";"VIGILANCE";"Réflexes";"Inéquation : inverser le sens après multiplication ou division par un négatif. Fraction : dénominateur commun pour additionner. Toujours vérifier unités signes et ordre de grandeur.";"";""
"B_6E_ESS_01";"REV_6E_ESSENTIEL";"10";"REPERE";"Nombres et calcul";"Savoir lire écrire comparer et ordonner des nombres entiers ou décimaux. Estimer l'ordre de grandeur d'un résultat et respecter les priorités de calcul.";"";""
"B_6E_ESS_01B";"REV_6E_ESSENTIEL";"15";"REPERE";"Faire et défaire";"Addition et soustraction se défont l’une l’autre. Multiplication et division aussi, lorsque la division est possible. Reconnaître ces couples d’opérations inverses permet de revenir en arrière et de contrôler un calcul.";"a+b=c \Longleftrightarrow c-b=a \quad a\times b=c \Longleftrightarrow c\div b=a";""
"B_6E_ESS_02";"REV_6E_ESSENTIEL";"20";"FORMULE";"Fractions et pourcentages";"Une fraction représente un quotient. Un pourcentage est une fraction sur 100.";"\frac{a}{b}=a\div b \quad t\%=\frac{t}{100}";""
"B_6E_ESS_03";"REV_6E_ESSENTIEL";"30";"METHODE";"Proportionnalité";"Dans une situation proportionnelle, revenir à l'unité consiste souvent à diviser ; pour repartir vers une autre quantité, on multiplie. Exemple : si 5 objets coûtent 20 €, alors 1 objet coûte 20 ÷ 5 = 4 €, puis 8 objets coûtent 4 × 8 = 32 €. Toujours écrire les unités dans le tableau.";"";""
"B_6E_ESS_04";"REV_6E_ESSENTIEL";"40";"FORMULE";"Périmètres";"Le périmètre est la longueur du contour. Pour un disque utiliser le diamètre d ou le rayon r.";"P_{rectangle}=2(L+l) \quad P_{carre}=4c \quad P_{disque}=\pi d=2\pi r";""
"B_6E_ESS_05";"REV_6E_ESSENTIEL";"50";"FORMULE";"Aires";"L'aire mesure une surface. Les unités d'aire sont au carré.";"A_{rectangle}=L\times l \quad A_{carre}=c^2";""
"B_6E_ESS_06";"REV_6E_ESSENTIEL";"60";"REPERE";"Géométrie";"Dans un triangle la somme des angles vaut 180 degrés. La médiatrice d'un segment est perpendiculaire au segment et passe par son milieu. Un point de la médiatrice est à égale distance des deux extrémités.";"";""
"B_6E_ESS_07";"REV_6E_ESSENTIEL";"70";"FORMULE";"Volumes et durées";"Un volume peut se mesurer en cubes unités comme le cm³. Pour un pavé droit on multiplie longueur largeur et hauteur. Pour un cube les trois dimensions sont égales. Repères utiles : 1 dm³ = 1 L et 1 cm³ = 1 mL. Pour les durées : 1 h = 60 min et 1 min = 60 s.";"V_{pave}=L\times l\times h \quad V_{cube}=c^3";""
"B_6E_ESS_08";"REV_6E_ESSENTIEL";"80";"FORMULE";"Données et probabilités";"Savoir lire et produire un tableau ou un graphique. Une probabilité est comprise entre 0 et 1. En équiprobabilité elle compare les cas favorables aux cas possibles. Une fréquence observée sur de nombreuses répétitions peut aider à estimer une probabilité.";"P(A)=\frac{nombre\ de\ cas\ favorables}{nombre\ de\ cas\ possibles}";""
"B_6E_ESS_10";"REV_6E_ESSENTIEL";"90";"REPERE";"Algèbre et pensée informatique";"Une lettre peut représenter un nombre inconnu ou variable. Savoir compléter une égalité simple repérer une régularité et exécuter une suite d'instructions. Une boucle permet de répéter plusieurs fois les mêmes instructions.";"";""
"B_6E_ESS_11";"REV_6E_ESSENTIEL";"100";"REPERE";"Repérage et solides";"Savoir lire les coordonnées d'un point se repérer sur un plan reconnaître cube et pavé droit et relier un solide à certaines de ses représentations planes.";"";""
"B_6E_ESS_09";"REV_6E_ESSENTIEL";"110";"VIGILANCE";"Réflexes";"Avant de calculer identifier les données utiles choisir l'opération et vérifier l'unité. Après le calcul contrôler le signe l'ordre de grandeur et la cohérence de la réponse.";"";""
"B_5E_FRAC_01";"REV_5E_FRACTIONS";"10";"REPERE";"Lire une fraction";"Dans a/b, a est le numérateur et b le dénominateur. La fraction représente le quotient a ÷ b, avec b non nul.";"\frac{a}{b}=a\div b \quad (b\ne0)";""
"B_5E_FRAC_01B";"REV_5E_FRACTIONS";"15";"REPERE";"Faire et défaire";"Addition et soustraction se défont l’une l’autre. Multiplication et division aussi, lorsque la division est possible. Ces opérations inverses aident à comprendre les calculs sur les fractions plutôt qu’à apprendre seulement des recettes.";"a+b=c \Longleftrightarrow c-b=a \quad a\times b=c \Longleftrightarrow c\div b=a";""
"B_5E_FRAC_02";"REV_5E_FRACTIONS";"20";"METHODE";"Fractions équivalentes";"Multiplier ou diviser le numérateur et le dénominateur par un même nombre non nul ne change pas la valeur de la fraction. C’est le principe utilisé pour simplifier ou obtenir un dénominateur commun.";"\frac{a}{b}=\frac{a\times k}{b\times k} \quad (k\ne0)";""
"B_5E_FRAC_03";"REV_5E_FRACTIONS";"30";"METHODE";"Additionner et soustraire";"Avec le même dénominateur on additionne ou on soustrait les numérateurs et on garde le dénominateur. Sinon on commence par écrire les fractions avec un dénominateur commun.";"\frac{a}{c}+\frac{b}{c}=\frac{a+b}{c}";""
"B_5E_FRAC_04";"REV_5E_FRACTIONS";"40";"METHODE";"Multiplier des fractions";"On multiplie les numérateurs entre eux et les dénominateurs entre eux, puis on simplifie le résultat si possible.";"\frac{a}{b}\times\frac{c}{d}=\frac{ac}{bd}";""
"B_5E_FRAC_05";"REV_5E_FRACTIONS";"50";"METHODE";"Prendre une fraction d’une quantité";"Prendre a/b d’une quantité revient à diviser la quantité par b puis à multiplier par a lorsque la division tombe juste. On peut aussi multiplier par a puis diviser par b : les deux chemins conduisent au même résultat. Exemple : 3/4 de 20, c’est 20 ÷ 4 × 3 = 15.";"Q\times\frac{a}{b}=\frac{Q\times a}{b}";""
"B_5E_FRAC_06";"REV_5E_FRACTIONS";"60";"VIGILANCE";"Réflexes avant le quiz";"Vérifier le dénominateur commun avant une addition ou une soustraction, simplifier le résultat quand c’est possible et garder une valeur exacte sous forme de fraction si aucun arrondi n’est demandé.";"";""
"B_5E_ESS_01";"REV_5E_ESSENTIEL";"10";"REPERE";"Nombres relatifs";"Un nombre relatif combine une distance à zéro et un signe. Sur une droite graduée les nombres augmentent de gauche à droite. Pour additionner ou soustraire raisonner d'abord sur les signes et les distances à zéro.";"";""
"B_5E_ESS_02";"REV_5E_ESSENTIEL";"20";"REPERE";"Fractions et nombres rationnels";"Une fraction représente un quotient. Pour additionner ou soustraire deux fractions il faut d'abord les écrire avec un même dénominateur. Exemple : 3/7 + 2/7 = 5/7. Pour multiplier deux fractions on multiplie les numérateurs entre eux et les dénominateurs entre eux. Exemple : 2/3 x 5/4 = 10/12 = 5/6.";"";""
"B_5E_ESS_03";"REV_5E_ESSENTIEL";"30";"METHODE";"Proportionnalité";"Repérer si deux grandeurs sont proportionnelles. Le passage à l'unité relie directement division et multiplication : on divise pour revenir à 1, puis on multiplie pour repartir vers la quantité cherchée. Le coefficient de proportionnalité ou un produit en croix peuvent ensuite être utilisés lorsque la situation s'y prête. Un pourcentage est une proportion rapportée à 100.";"";""
"B_5E_ESS_04";"REV_5E_ESSENTIEL";"40";"METHODE";"Calcul littéral";"Une lettre peut représenter un nombre variable. Réduire consiste à regrouper les termes de même nature. La distributivité permet de transformer une expression sans changer sa valeur. Exemple : 3(x + 2) = 3x + 6.";"";""
"B_5E_ESS_05";"REV_5E_ESSENTIEL";"50";"REPERE";"Priorités de calcul";"Effectuer d'abord les calculs entre parenthèses puis les puissances puis multiplications et divisions puis additions et soustractions. À priorité égale calculer de gauche à droite.";"";""
"B_5E_ESS_06";"REV_5E_ESSENTIEL";"60";"REPERE";"Géométrie et transformations";"Reconnaître et utiliser symétries translation et rotation. Une transformation conserve certaines propriétés géométriques et permet de raisonner sur des figures sans tout recalculer.";"";""
"B_5E_ESS_07";"REV_5E_ESSENTIEL";"70";"REPERE";"Aires et volumes";"Toujours identifier la grandeur demandée et son unité. Pour un prisme droit le volume est l'aire de la base multipliée par la hauteur. Exemple : une base de 12 cm² et une hauteur de 5 cm donnent un volume de 60 cm³.";"";""
"B_5E_ESS_08";"REV_5E_ESSENTIEL";"80";"REPERE";"Données et statistiques";"Lire un tableau ou un graphique avant de calculer. Une moyenne résume une série mais ne décrit pas à elle seule sa dispersion. Une fréquence compare un effectif à l'effectif total.";"";""
"B_5E_ESS_09";"REV_5E_ESSENTIEL";"90";"REPERE";"Probabilités";"Une probabilité est comprise entre 0 et 1. Dans une expérience simple identifier les issues puis l'événement étudié. Une fréquence observée peut se rapprocher d'une probabilité lorsque le nombre d'essais augmente.";"";""
"B_5E_ESS_10";"REV_5E_ESSENTIEL";"100";"REPERE";"Algorithmique";"Une variable stocke une valeur. Une affectation la modifie. Une condition permet de choisir une action et une boucle permet de répéter des instructions.";"";""
"B_5E_ESS_11";"REV_5E_ESSENTIEL";"110";"VIGILANCE";"Réflexes";"Avant de calculer repérer les signes les unités et la structure de l'expression. Après le calcul vérifier l'ordre de grandeur et demander si le résultat est compatible avec la situation.";"";""
"B_4E_ESS_01";"REV_4E_ESSENTIEL";"10";"REPERE";"Puissances";"Une puissance est un produit répété. Par exemple 2^4 signifie 2 x 2 x 2 x 2. Pour des puissances de même base, multiplier revient à additionner les exposants et diviser revient à les soustraire. Les puissances de dix servent à écrire les très grands et très petits nombres.";"";""
"B_4E_ESS_02";"REV_4E_ESSENTIEL";"20";"REPERE";"Notation scientifique";"En notation scientifique un nombre s'écrit comme le produit d'un nombre dont la valeur absolue est comprise entre 1 et 10 et d'une puissance de dix. Exemple : 350 000 = 3,5 x 10^5.";"";""
"B_4E_ESS_03";"REV_4E_ESSENTIEL";"30";"METHODE";"Équations";"Résoudre une équation consiste à trouver les valeurs qui rendent l'égalité vraie. Effectuer la même opération sur les deux membres conserve l'égalité.";"ax+b=c \Rightarrow ax=c-b";""
"B_4E_ESS_04";"REV_4E_ESSENTIEL";"40";"FORMULE";"Pythagore";"Dans un triangle rectangle le carré de l'hypoténuse est égal à la somme des carrés des deux autres côtés. La réciproque permet de démontrer qu'un triangle est rectangle.";"c^2=a^2+b^2";""
"B_4E_ESS_05";"REV_4E_ESSENTIEL";"50";"REPERE";"Thalès et proportionnalité";"Dans une configuration adaptée avec des droites parallèles les longueurs correspondantes sont proportionnelles. La réciproque utilise l'égalité de rapports pour établir un parallélisme.";"";""
"B_4E_ESS_06";"REV_4E_ESSENTIEL";"60";"REPERE";"Cosinus";"Dans un triangle rectangle le cosinus d'un angle aigu compare la longueur du côté adjacent à celle de l'hypoténuse. Il permet de calculer une longueur ou un angle. La formule n'est utile qu'après avoir identifié ces deux côtés sur la figure.";"";""
"B_4E_ESS_07";"REV_4E_ESSENTIEL";"70";"REPERE";"Grandeurs composées";"Une vitesse un débit ou une masse volumique relient plusieurs grandeurs. Toujours conserver les unités pendant le raisonnement et vérifier leur compatibilité avant le calcul.";"";""
"B_4E_ESS_08";"REV_4E_ESSENTIEL";"80";"REPERE";"Statistiques";"La médiane partage une série ordonnée en deux groupes d'effectifs aussi proches que possible. La moyenne et la médiane décrivent des aspects différents d'une série.";"";""
"B_4E_ESS_09";"REV_4E_ESSENTIEL";"90";"REPERE";"Probabilités";"L'événement contraire contient toutes les issues qui ne réalisent pas l'événement considéré. Les probabilités d'un événement et de son contraire ont pour somme 1. Exemple : si P(A) = 0,3 alors la probabilité de l'événement contraire est 0,7.";"";""
"B_4E_ESS_10";"REV_4E_ESSENTIEL";"100";"REPERE";"Agrandissement et réduction";"Multiplier toutes les longueurs par un même facteur k produit un agrandissement ou une réduction. Les aires sont alors multipliées par k² et les volumes par k³. Exemple : si les longueurs doublent, les aires sont multipliées par 4 et les volumes par 8.";"";""
"B_4E_ESS_11";"REV_4E_ESSENTIEL";"110";"VIGILANCE";"Réflexes";"Un théorème s'utilise seulement lorsque ses hypothèses sont vérifiées. Écrire les données utiles puis la propriété utilisée avant de lancer le calcul.";"";""
"B_3E_ESS_01";"REV_3E_ESSENTIEL";"10";"METHODE";"Calcul littéral";"Développer transforme un produit en somme ; factoriser fait l'inverse. Il faut d'abord reconnaître la structure de l'expression. Exemple : 3(x + 2) = 3x + 6, et 3x + 6 = 3(x + 2). La double distributivité prépare les transformations algébriques du lycée.";"";""
"B_3E_ESS_02";"REV_3E_ESSENTIEL";"20";"METHODE";"Équations-produits";"Un produit est nul lorsqu'au moins un de ses facteurs est nul. Factoriser peut donc transformer une équation difficile en plusieurs équations simples.";"AB=0 \Longleftrightarrow A=0 \text{ ou } B=0";""
"B_3E_ESS_03";"REV_3E_ESSENTIEL";"30";"FORMULE";"Fonction linéaire";"Une fonction linéaire traduit une situation de proportionnalité. Son graphique est une droite passant par l'origine et son coefficient indique le facteur multiplicatif.";"f(x)=ax";""
"B_3E_ESS_04";"REV_3E_ESSENTIEL";"40";"FORMULE";"Fonction affine";"Une fonction affine ajoute un décalage à une relation linéaire. Son graphique est une droite. Le coefficient a contrôle la pente et b l'ordonnée à l'origine.";"f(x)=ax+b";""
"B_3E_ESS_05";"REV_3E_ESSENTIEL";"50";"REPERE";"Évolutions et pourcentages";"Une hausse de t pour cent correspond à multiplier la valeur initiale par 1 + t/100 ; une baisse à multiplier par 1 - t/100. Exemple : une hausse de 20 % revient à multiplier par 1,20.";"";""
"B_3E_ESS_06";"REV_3E_ESSENTIEL";"60";"REPERE";"Thalès et triangles semblables";"La proportionnalité des longueurs relie Thalès triangles semblables agrandissements et homothéties. Identifier la configuration avant d'écrire les rapports.";"";""
"B_3E_ESS_07";"REV_3E_ESSENTIEL";"70";"REPERE";"Trigonométrie";"Dans un triangle rectangle sinus cosinus et tangente relient un angle aigu à des rapports de longueurs. Avant toute formule repérer l'hypoténuse puis les côtés adjacent et opposé à l'angle étudié. Choisir ensuite le rapport qui contient les grandeurs connues et recherchées.";"";""
"B_3E_ESS_08";"REV_3E_ESSENTIEL";"80";"REPERE";"Homothétie";"Une homothétie multiplie les longueurs par son rapport et conserve les angles. Elle donne un cadre géométrique aux agrandissements réductions et figures semblables.";"";""
"B_3E_ESS_09";"REV_3E_ESSENTIEL";"90";"REPERE";"Statistiques";"Moyenne médiane et étendue ne répondent pas à la même question. La moyenne indique un niveau moyen, la médiane une position centrale et l'étendue mesure l'écart entre la plus grande et la plus petite valeur.";"";""
"B_3E_ESS_10";"REV_3E_ESSENTIEL";"100";"REPERE";"Probabilités et simulation";"Construire l'univers des issues puis identifier les événements. La simulation permet d'observer des fréquences et de comparer un modèle théorique aux résultats expérimentaux.";"";""
"B_3E_ESS_11";"REV_3E_ESSENTIEL";"110";"REPERE";"Algorithmique";"Décomposer un problème en étapes utiliser variables conditions boucles et blocs réutilisables. Un programme est une manière précise d'exprimer un raisonnement exécutable.";"";""
"B_3E_ESS_12";"REV_3E_ESSENTIEL";"120";"VIGILANCE";"Préparer le lycée";"Ne pas seulement mémoriser des formules : savoir reconnaître la structure d'un problème choisir l'outil justifier son usage et relier résultat numérique représentation graphique et expression algébrique.";"";""
"B_ENS_01";"REV_2GT_ENSEMBLES";"10";"REPERE";"La carte NZDQR";"Les ensembles usuels de nombres sont emboîtés. Pour retenir leur ordre : **Nos Zèbres Dévorent Quelques Radis**. La phrase aide à mémoriser N Z D Q R ; le diagramme explique l’inclusion.";"\mathbb{N} \subset \mathbb{Z} \subset \mathbb{D} \subset \mathbb{Q} \subset \mathbb{R}";"ensembles_nombres"
"B_ENS_02";"REV_2GT_ENSEMBLES";"20";"DEFINITION";"Que contient chaque ensemble ?";"N contient les naturels (0, 1, 2, ...). Z ajoute les entiers négatifs. D contient les nombres à écriture décimale finie. Q contient les quotients d’entiers a/b avec b non nul. R contient tous les nombres de la droite réelle, notamment les irrationnels comme $\sqrt{2}$ ou $\pi$.";"";""
"B_ENS_03";"REV_2GT_ENSEMBLES";"30";"METHODE";"Trouver le plus petit ensemble";"Commencer par simplifier le nombre, puis parcourir la chaîne de gauche à droite. On s’arrête au premier ensemble qui le contient. Exemple : 4/2 = 2, donc le plus petit ensemble est N, même si 2 appartient aussi à Z, D, Q et R.";"";""
"B_ENS_04";"REV_2GT_ENSEMBLES";"40";"VIGILANCE";"Appartenance ou inclusion ?";"Le symbole $\in$ relie un élément à un ensemble ; le symbole $\subset$ relie deux ensembles. On écrit $3 \in \mathbb{N}$, mais $\mathbb{N} \subset \mathbb{Z}$. Confondre les deux revient à confondre un habitant avec une ville.";"3 \in \mathbb{N} \qquad \mathbb{N} \subset \mathbb{Z}";""
"B_ENS_05";"REV_2GT_ENSEMBLES";"50";"EXEMPLES";"Quelques pièges utiles";"0 est naturel dans la convention scolaire usuelle en France. -0,5 est décimal. 2/3 est rationnel mais pas décimal. $\sqrt{2}$ est réel mais irrationnel. Une écriture peut être trompeuse : toujours regarder la valeur du nombre avant de le classer.";"";""
"B_ENS_06";"REV_2GT_ENSEMBLES";"60";"OUVERTURE";"Et si on ouvrait une porte ?";"Les ensembles ne servent pas seulement à ranger des nombres. Ils permettent ensuite de parler d’intervalles, de domaines de définition, d’équations et de fonctions. Plus surprenant : entre deux réels distincts, on peut toujours trouver des rationnels et des irrationnels. La carte NZDQR n’est donc qu’un début.";"";""
