erreur_id;concept_id;libelle;description;remediation;niveau_id
MATE_LIMITE_PREUVE;MATC_LIMITE_SUITE_INTUITIVE;Transformer une conjecture numérique en preuve de limite;Conclure formellement à une limite parce que quelques termes semblent se stabiliser.;En Première, formuler explicitement une conjecture appuyée sur des observations ou un algorithme.;1G
MATE_SECOND_SIGNE_A;MATC_SIGNE_TRINOME;Oublier le signe du coefficient dominant;Construire le tableau de signe sans tenir compte du signe de a.;Faire tester une valeur extérieure aux racines ou raisonner sur le produit des facteurs.;1G
MATE_SECOND_DELTA;MATC_DISCRIMINANT;Confondre discriminant et racines;Prendre Delta pour une solution de l’équation.;Séparer explicitement l’étape diagnostic Delta de l’étape calcul des racines.;1G
MATE_SECOND_SOMMET;MATC_SOMMET_PARABOLE;Confondre alpha et beta;Intervertir abscisse et ordonnée du sommet dans la forme canonique.;Relire P(x)=a(x-alpha)^2+beta comme une translation du modèle ax².;1G
MATE_PS_NORME;MATC_PRODUIT_SCALAIRE;Confondre produit scalaire et produit des normes;Écrire u.v=||u||||v|| sans facteur cosinus.;Faire choisir entre formule coordonnée et formule géométrique avant de calculer.;1G
MATE_PS_ORTHO;MATC_ORTHOGONALITE;Confondre vecteurs orthogonaux et colinéaires;Utiliser un déterminant nul pour conclure à l’orthogonalité.;Associer déterminant à colinéarité et produit scalaire nul à orthogonalité.;1G
MATE_PS_ANGLE;MATC_ANGLE_VECTEURS;Oublier de normaliser pour calculer un cosinus;Assimiler directement le produit scalaire à cos(theta).;Écrire d’abord cos(theta)=u.v/(||u||||v||).;1G
MATE_PROBA_COND_SENS;MATC_PROBA_CONDITIONNELLE;Inverser événement et condition;Confondre P_A(B) et P_B(A).;Lire la notation en toutes lettres avant le calcul.;1G
MATE_PROBA_ARBRE_ADD;MATC_ARBRE_PROBA;Additionner les probabilités le long d’un chemin;Additionner des branches successives au lieu de les multiplier.;Distinguer ET sur un chemin et OU entre chemins incompatibles.;1G
MATE_PROBA_INDEP_INCOMP;MATC_INDEPENDANCE;Confondre indépendance et incompatibilité;Croire que deux événements incompatibles sont indépendants.;Comparer P(A inter B)=0 avec P(A)P(B).;1G
MATE_PROBA_TOTAL;MATC_PROBA_TOTALES;Utiliser les probabilités totales sans partition;Additionner des cas qui se recouvrent ou n’épuisent pas l’univers.;Vérifier incompatibilité deux à deux et réunion égale à l’univers.;1G
MATE_VA_PROBA;MATC_LOI_VARIABLE;Oublier d’agréger les issues donnant la même valeur;Attribuer plusieurs probabilités séparées à une même valeur de X.;Regrouper d’abord les issues par valeur de la variable.;1G
MATE_VA_ESPERANCE;MATC_ESPERANCE;Interpréter l’espérance comme une issue certaine;Présenter E(X) comme le gain obtenu à chaque expérience.;Insister sur l’interprétation de moyenne à long terme.;1G
MATE_VA_VARIANCE;MATC_VARIANCE;Confondre variance et écart type;Comparer directement une variance à des valeurs exprimées dans l’unité de X.;Rappeler que l’écart type retrouve l’unité de la variable.;1G
MATE_FRACTION_NUMDEN;MATC_FRACTION;Additionner séparément numérateurs et dénominateurs;Écrire a/b + c/d = (a+c)/(b+d).;Revenir au sens du quotient et rechercher un dénominateur commun avant l’addition.;6E
MATE_POURCENT_CONFUSION;MATC_POURCENTAGE;Confondre pourcentage et valeur;Traiter 20 % comme le nombre 20 dans un calcul.;Faire systématiquement apparaître 20/100 ou 0,20 avant le calcul.;6E
MATE_RELATIF_SIGNE;MATC_NOMBRE_RELATIF;Perdre le signe d’un nombre relatif;Appliquer une règle de calcul sans distinguer signe et valeur absolue.;Faire verbaliser le signe attendu avant d’effectuer le calcul.;5E
MATE_PRIORITES_GAUCHE;MATC_PRIORITES;Calculer systématiquement de gauche à droite;Effectuer une addition avant une multiplication sans parenthèses.;Marquer d’abord les opérations prioritaires avant tout calcul.;5E
MATE_LITTERAL_CONCAT;MATC_EXPRESSION_LITTERALE;Confondre juxtaposition et addition;Interpréter 3x comme 3+x.;Relier explicitement la juxtaposition au produit : 3x = 3 × x.;5E
MATE_AIRE_PERIM;MATC_AIRE;Confondre aire et périmètre;Utiliser une formule d’aire pour mesurer un contour ou inversement.;Identifier d’abord la grandeur demandée et son unité avant de choisir une formule.;6E
MATE_MEDIATRICE_MILIEU;MATC_MEDIATRICE;Réduire la médiatrice au milieu du segment;Placer le milieu sans construire ni utiliser la perpendicularité.;Rappeler les deux propriétés : passage par le milieu et perpendicularité.;6E
MATE_PROBA_FREQUENCE;MATC_PROBABILITE;Confondre fréquence et probabilité;Prendre une fréquence observée sur peu d’essais pour une probabilité exacte.;Distinguer modèle théorique et résultat expérimental, puis comparer sur des répétitions.;6E
MATE_PROP_AUTOMATIQUE;MATC_PROPORTIONNALITE;Supposer toute situation proportionnelle;Appliquer un produit en croix sans vérifier la proportionnalité.;Tester d’abord la constance du rapport ou la cohérence du modèle.;5E
MATE_FONCTION_INVERSE;MATC_IMAGE_ANTECEDENT;Confondre image et antécédent;Chercher f(x) alors que la valeur de sortie est donnée, ou inversement.;Formuler la question : « je pars de x » pour l’image, « j’arrive à y » pour l’antécédent.;5E
MATE_4E_RACINE;MATC_RACINE_CARREE;Confondre racine carrée et division par deux;Interpréter √a comme a/2.;Revenir à la définition : √a est le nombre positif dont le carré vaut a.;4E
MATE_4E_PUISS;MATC_PUISSANCE;Multiplier l’exposant lors d’un produit;Confondre produit de puissances de même base et multiplication des exposants.;Écrire quelques produits développés avant de généraliser la règle sur les exposants.;4E
MATE_4E_DIST;MATC_DISTRIBUTIVITE;Oublier un terme dans la distributivité;Ne multiplier le facteur que par le premier terme de la parenthèse.;Tracer deux flèches ou verbaliser chaque produit avant de réduire.;4E
MATE_4E_EQ;MATC_EQUATION_PREMIER_DEGRE;Changer de membre sans justification;Transformer les signes mécaniquement sans conserver l’égalité.;Effectuer explicitement la même opération sur les deux membres.;4E
MATE_4E_PYTH;MATC_PYTHAGORE;Utiliser Pythagore hors triangle rectangle;Appliquer la relation sans avoir établi que le triangle est rectangle.;Identifier d’abord l’angle droit et l’hypoténuse ou utiliser la réciproque si nécessaire.;4E
MATE_4E_THALES;MATC_THALES;Mélanger les côtés correspondants;Écrire des rapports qui ne respectent pas la correspondance des triangles.;Nommer les triangles dans le même ordre avant d’écrire les rapports.;4E
MATE_3E_DDIST;MATC_DOUBLE_DISTRIBUTIVITE;Oublier un des quatre produits;Développer un produit de deux binômes avec seulement deux ou trois produits.;Utiliser un tableau ou des flèches pour vérifier les quatre produits.;3E
MATE_3E_EQPROD;MATC_EQUATION_PRODUIT;Appliquer la règle du produit nul à une somme;Conclure qu’un terme est nul alors que l’expression n’est pas factorisée.;Vérifier que l’équation est bien sous la forme produit = 0 avant d’utiliser la règle.;3E
MATE_3E_EVOL;MATC_COEFFICIENT_MULTIPLICATEUR;Ajouter le pourcentage au lieu de multiplier;Confondre variation absolue et évolution proportionnelle.;Convertir le taux en décimal puis construire le coefficient multiplicateur.;3E
MATE_3E_HOMOTH;MATC_HOMOTHETIE;Appliquer le même rapport aux aires et volumes;Multiplier aire ou volume par k au lieu de k² ou |k|³.;Distinguer dimension 1, 2 et 3 avant de choisir la puissance du rapport.;3E
MATE_3E_TRIGO;MATC_COSINUS;Choisir le mauvais rapport trigonométrique;Utiliser cosinus, sinus ou tangente sans identifier les côtés.;Nommer opposé, adjacent et hypoténuse par rapport à l’angle avant de choisir le rapport.;3E
MATE_3E_FONCTION;MATC_IMAGE_ANTECEDENT;Confondre image et antécédent;Inverser la valeur d’entrée et la valeur de sortie d’une fonction.;Revenir à la lecture f(x)=y : x est un antécédent de y et y est l’image de x.;3E
MATE_2GT_CROCHETS;MATC_INTERVALLE;Confondre borne incluse et borne exclue;Choisir un crochet sans tenir compte du caractère strict ou large de l’inégalité.;Revenir à la droite graduée et tester explicitement la borne.;2GT
MATE_2GT_RECIP;MATC_IMPLICATION;Confondre implication et réciproque;Considérer automatiquement vraie la réciproque d’une implication vraie.;Écrire séparément hypothèse et conclusion puis chercher un contre-exemple à la réciproque.;2GT
MATE_2GT_APPROX;MATC_VALEUR_APPROCHEE;Arrondir trop tôt;Remplacer précocement une valeur exacte par un décimal et accumuler les erreurs.;Conserver les formes exactes dans les étapes intermédiaires.;2GT
MATE_2GT_INEQ_SIGNE;MATC_INEQUATION_PREMIER_DEGRE;Oublier d’inverser le sens de l’inégalité;Diviser ou multiplier par un nombre négatif sans inverser le symbole.;Associer explicitement le changement de sens à toute multiplication ou division par un négatif.;2GT
MATE_2GT_VECT_POINT;MATC_COORDONNEES_VECTEUR;Confondre point et vecteur;Utiliser directement les coordonnées d’un point comme celles d’un vecteur entre deux points.;"Écrire AB = (x_B-x_A ; y_B-y_A) avant tout calcul.";2GT
MATE_2GT_PENTE;MATC_COEFF_DIRECTEUR;Inverser les écarts dans le coefficient directeur;Mélanger les ordres des différences en x et en y.;Conserver le même ordre A vers B au numérateur et au dénominateur.;2GT
MATE_2GT_IMAGE_ANT;MATC_IMAGE_ANTECEDENT;Confondre image et antécédent;Lire f(a)=b comme si a était l’image de b.;Formuler verbalement : b est l’image de a, a est un antécédent de b.;2GT
MATE_2GT_EVOL;MATC_COEFFICIENT_MULTIPLICATEUR;Ajouter un pourcentage au lieu de multiplier;Traiter une évolution successive comme une simple addition de pourcentages.;Passer systématiquement par les coefficients multiplicateurs.;2GT
MATE_2GT_FREQCOND;MATC_FREQUENCE_CONDITIONNELLE;Choisir le mauvais dénominateur;Diviser par l’effectif total au lieu de l’effectif de la sous-population conditionnante.;Nommer d’abord la population de référence puis utiliser son effectif au dénominateur.;2GT
MATE_2GT_EQUIP;MATC_EQUIPROBABILITE;Utiliser le quotient des cardinaux hors équiprobabilité;Appliquer Card(A)/Card(Omega) alors que les issues n’ont pas toutes la même probabilité.;Vérifier explicitement l’équiprobabilité avant de compter.;2GT
