relation_id;concept_id;concept_lie_id;type_relation;importance;commentaire
MCR_PS05;MATC_VECTEUR_NORMAL;MATC_ORTHOGONALITE;PREREQUIS;fort;Un vecteur normal est défini par son orthogonalité à la direction de la droite.
MCR_PR01;MATC_PROBA_CONDITIONNELLE;MATC_INTERSECTION_EVENEMENTS;PREREQUIS;fort;La définition utilise la probabilité de l’intersection.
MCR_PR02;MATC_ARBRE_PROBA;MATC_PROBA_CONDITIONNELLE;REPRESENTE;fort;Les branches d’un arbre portent des probabilités conditionnelles.
MCR_PR03;MATC_TABLEAU_PROBA;MATC_PROBA_CONDITIONNELLE;REPRESENTE;moyen;Un tableau croisé permet de calculer des probabilités conditionnelles.
MCR_PR04;MATC_PROBA_TOTALES;MATC_PARTITION_UNIVERS;PREREQUIS;fort;La formule des probabilités totales repose sur une partition.
MCR_PR05;MATC_INDEPENDANCE;MATC_PROBA_CONDITIONNELLE;PREREQUIS;fort;L’indépendance se caractérise par l’égalité entre probabilité conditionnelle et marginale.
MCR_PR06;MATC_EPREUVE_BERNOULLI;MATC_BERNOULLI_REPETITION;PREREQUIS;fort;La répétition de Bernoulli s’appuie sur une même épreuve à deux issues.
MCR_PR07;MATC_LOI_VARIABLE;MATC_VARIABLE_ALEATOIRE;PREREQUIS;fort;La loi décrit la distribution des valeurs prises par la variable.
MCR_PR08;MATC_ESPERANCE;MATC_LOI_VARIABLE;PREREQUIS;fort;L’espérance est calculée à partir de la loi.
MCR_PR09;MATC_VARIANCE;MATC_ESPERANCE;PREREQUIS;moyen;La variance mesure la dispersion autour de l’espérance.
MCR_PR10;MATC_ECART_TYPE;MATC_VARIANCE;PREREQUIS;fort;L’écart type est la racine carrée de la variance.
